,000_heartRate,015_heartRate,030_heartRate,045_heartRate,060_heartRate,075_heartRate,090_heartRate,105_heartRate,120_heartRate,135_heartRate,150_heartRate,165_heartRate,180_heartRate,195_heartRate,210_heartRate,225_heartRate,240_heartRate,255_heartRate,270_heartRate,285_heartRate,300_heartRate,315_heartRate,330_heartRate,345_heartRate,360_heartRate,375_heartRate,390_heartRate,405_heartRate,420_heartRate,435_heartRate,450_heartRate,465_heartRate,480_heartRate,495_heartRate,510_heartRate,525_heartRate,540_heartRate,555_heartRate,570_heartRate,585_heartRate,600_heartRate,615_heartRate,630_heartRate,645_heartRate,660_heartRate,675_heartRate,690_heartRate,705_heartRate,720_heartRate,735_heartRate,750_heartRate,765_heartRate,780_heartRate,795_heartRate,810_heartRate,825_heartRate,840_heartRate,855_heartRate,870_heartRate,885_heartRate,studyId,startTimeStamp,startDateTime,endTimeStamp,steps,distanceInMeters,maxMotionIntensity,meanMotionIntensity,sleepLabel
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,S1,1486223100,2017-02-04 15:48:00,1486224000,0,0.0,7,4.916666667,0
1,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,S1,1486224000,2017-02-04 16:00:00,1486224900,0,0.0,4,3.733333333,0
2,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,S1,1486224900,2017-02-04 16:15:00,1486225800,0,0.0,7,2.266666667,0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1486225800,2017-02-04 16:30:00,1486226700,0,0.0,4,4.0,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,1486226700,2017-02-04 16:45:00,1486227600,0,0.0,7,6.066666667,0
5,,,,,,,,,,,,,,76,76,76,76,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,,,,78,78,78,78,78,78,78,78,78,78,78,S1,1486227600,2017-02-04 17:00:00,1486228500,0,0.0,7,4.4,0
6,78,78,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,81,S1,1486228500,2017-02-04 17:15:00,1486229400,0,0.0,7,5.533333333,0
7,81,87,87,87,87,101,101,101,101,101,101,101,101,106,106,106,106,103,103,103,103,102,102,102,102,96,96,96,96,93,93,93,93,86,86,86,86,86,86,86,86,85,85,85,85,84,84,84,84,83,83,83,83,77,77,77,77,74,74,74,S1,1486229400,2017-02-04 17:30:00,1486230300,0,0.0,7,2.666666667,0
8,74,73,73,73,73,73,73,73,73,71,71,71,71,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,68,68,68,68,69,69,69,69,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,S1,1486230300,2017-02-04 17:45:00,1486231200,0,0.0,3,0.933333333,0
9,68,69,69,69,69,67,67,67,67,85,85,85,85,78,78,78,78,68,68,68,68,65,65,65,65,65,65,65,65,66,66,66,66,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,65,65,65,65,65,65,65,65,66,66,66,S1,1486231200,2017-02-04 18:00:00,1486232100,0,0.0,7,1.733333333,0
