,startTimeStamp,endTimeStamp,startDate,startTime,durationInSeconds,maxMotionIntensity,meanMotionIntensity,steps,distanceInMeters,activityType,activeKilocalories
0,1517922480,1517922900,2018-02-06,13:08:00,420,5,4.142857143,0,0.0,SEDENTARY,0
1,1517922900,1517923260,2018-02-06,13:15:00,360,7,6.4,0,0.0,SEDENTARY,0
2,1517923800,1517924460,2018-02-06,13:30:00,660,7,2.466666667,0,0.0,SEDENTARY,0
3,1517924700,1517924700,2018-02-06,13:45:00,0,7,3.266666667,0,0.0,GENERIC,16
4,1517925600,1517926260,2018-02-06,14:00:00,660,7,2.133333333,0,0.0,SEDENTARY,0
5,1517926500,1517927160,2018-02-06,14:15:00,660,7,1.866666667,0,0.04,SEDENTARY,0
6,1517927400,1517928173,2018-02-06,14:30:00,773,7,4.333333333,0,0.0,SEDENTARY,0
7,1517928300,1517928840,2018-02-06,14:45:00,540,7,3.133333333,0,0.0,SEDENTARY,0
8,1517929200,1517929800,2018-02-06,15:00:00,600,7,2.333333333,0,0.0,SEDENTARY,4
9,1517930100,1517930820,2018-02-06,15:15:00,720,7,2.133333333,0,0.0,SEDENTARY,0
10,1517931000,1517931540,2018-02-06,15:30:00,540,7,2.8,0,0.0,SEDENTARY,4
11,1517931900,1517931900,2018-02-06,15:45:00,0,0,0.0,0,0.0,GENERIC,80
12,1517932800,1517932800,2018-02-06,16:00:00,0,7,0.933333333,0,0.0,GENERIC,50
13,1517933700,1517934480,2018-02-06,16:15:00,780,7,2.6,0,0.02,SEDENTARY,5
14,1517934600,1517935379,2018-02-06,16:30:00,779,7,4.533333333,0,0.0,SEDENTARY,0
15,1517935500,1517936340,2018-02-06,16:45:00,840,7,3.533333333,0,0.0,SEDENTARY,0
16,1517936400,1517937000,2018-02-06,17:00:00,600,7,5.4,0,0.0,SEDENTARY,0
17,1517937300,1517938200,2018-02-06,17:15:00,900,5,1.333333333,0,0.0,SEDENTARY,0
18,1517938200,1517938860,2018-02-06,17:30:00,660,7,6.066666667,0,0.0,SEDENTARY,0
19,1517939100,1517939880,2018-02-06,17:45:00,780,7,5.066666667,0,0.0,SEDENTARY,0
20,1517940000,1517940660,2018-02-06,18:00:00,660,7,4.466666667,0,0.0,SEDENTARY,0
21,1517940900,1517941800,2018-02-06,18:15:00,900,3,1.8,0,0.0,SEDENTARY,0
22,1517941800,1517942280,2018-02-06,18:30:00,480,7,5.333333333,0,0.0,SEDENTARY,0
23,1517942700,1517943540,2018-02-06,18:45:00,840,7,3.333333333,0,0.0,SEDENTARY,0
24,1517943600,1517944320,2018-02-06,19:00:00,720,7,4.266666667,0,0.0,SEDENTARY,0
25,1517944500,1517945100,2018-02-06,19:15:00,600,7,5.133333333,0,0.0,SEDENTARY,0
26,1517945400,1517946300,2018-02-06,19:30:00,900,4,4.0,0,0.0,SEDENTARY,0
27,1517946300,1517947200,2018-02-06,19:45:00,900,4,4.0,0,0.0,SEDENTARY,0
28,1517947200,1517948100,2018-02-06,20:00:00,900,4,4.0,0,0.0,SEDENTARY,0
29,1517948100,1517949000,2018-02-06,20:15:00,900,4,4.0,0,0.0,SEDENTARY,0
30,1517949000,1517949720,2018-02-06,20:30:00,720,7,4.8,0,0.0,SEDENTARY,0
31,1517949900,1517950440,2018-02-06,20:45:00,540,7,4.266666667,0,0.0,SEDENTARY,0
32,1517950800,1517951700,2018-02-06,21:00:00,900,7,1.266666667,0,0.04,SEDENTARY,1
33,1517951700,1517952600,2018-02-06,21:15:00,900,4,3.2,0,0.01,SEDENTARY,0
34,1517952600,1517953500,2018-02-06,21:30:00,900,5,3.666666667,0,0.0,SEDENTARY,0
35,1517953500,1517954340,2018-02-06,21:45:00,840,7,4.733333333,0,0.0,SEDENTARY,0
36,1517954400,1517955120,2018-02-06,22:00:00,720,7,4.333333333,0,0.0,SEDENTARY,0
37,1517955300,1517955900,2018-02-06,22:15:00,600,7,5.266666667,0,0.0,SEDENTARY,0
38,1517956200,1517957100,2018-02-06,22:30:00,900,4,3.6,0,0.0,SEDENTARY,0
39,1517957100,1517958000,2018-02-06,22:45:00,900,4,2.0,0,0.0,SEDENTARY,0
40,1517958000,1517958900,2018-02-06,23:00:00,900,1,0.066666667,0,0.0,SEDENTARY,0
41,1517958900,1517959800,2018-02-06,23:15:00,900,0,0.0,0,0.0,SEDENTARY,0
42,1517959800,1517960700,2018-02-06,23:30:00,900,3,0.4,0,0.0,SEDENTARY,0
43,1517960700,1517961600,2018-02-06,23:45:00,900,3,0.8,0,0.0,SEDENTARY,0
44,1517961600,1517962500,2018-02-07,0:00:00,900,0,0.0,0,0.0,SEDENTARY,0
45,1517962500,1517963400,2018-02-07,0:15:00,900,0,0.0,0,0.0,SEDENTARY,0
46,1517963400,1517964300,2018-02-07,0:30:00,900,2,0.2,0,0.0,SEDENTARY,0
47,1517964300,1517965200,2018-02-07,0:45:00,900,4,0.266666667,0,0.0,SEDENTARY,0
48,1517965200,1517966100,2018-02-07,1:00:00,900,2,0.133333333,0,0.0,SEDENTARY,0
49,1517966100,1517967000,2018-02-07,1:15:00,900,0,0.0,0,0.0,SEDENTARY,0
50,1517967000,1517967900,2018-02-07,1:30:00,900,1,0.066666667,0,0.0,SEDENTARY,0
51,1517967900,1517968800,2018-02-07,1:45:00,900,3,0.533333333,0,0.0,SEDENTARY,0
52,1517968800,1517969700,2018-02-07,2:00:00,900,2,0.666666667,0,0.0,SEDENTARY,0
53,1517969700,1517970600,2018-02-07,2:15:00,900,0,0.0,0,0.0,SEDENTARY,0
54,1517970600,1517971500,2018-02-07,2:30:00,900,4,0.666666667,0,0.0,SEDENTARY,0
55,1517971500,1517972400,2018-02-07,2:45:00,900,4,1.4,0,0.0,SEDENTARY,0
56,1517972400,1517973300,2018-02-07,3:00:00,900,0,0.0,0,0.0,SEDENTARY,0
57,1517973300,1517974200,2018-02-07,3:15:00,900,2,0.4,0,0.0,SEDENTARY,0
58,1517974200,1517975100,2018-02-07,3:30:00,900,1,0.066666667,0,0.0,SEDENTARY,0
59,1517975100,1517976000,2018-02-07,3:45:00,900,2,0.733333333,0,0.0,SEDENTARY,0
60,1517976000,1517976900,2018-02-07,4:00:00,900,2,0.666666667,0,0.0,SEDENTARY,0
61,1517976900,1517977800,2018-02-07,4:15:00,900,3,0.666666667,0,0.0,SEDENTARY,0
62,1517977800,1517978700,2018-02-07,4:30:00,900,3,0.333333333,0,0.0,SEDENTARY,0
63,1517978700,1517979600,2018-02-07,4:45:00,900,1,0.066666667,0,0.0,SEDENTARY,0
64,1517979600,1517980482,2018-02-07,5:00:00,882,7,1.733333333,0,0.0,SEDENTARY,0
65,1517980500,1517981400,2018-02-07,5:15:00,900,3,0.2,0,0.0,SEDENTARY,0
66,1517981400,1517982300,2018-02-07,5:30:00,900,3,0.2,0,0.0,SEDENTARY,0
67,1517982300,1517983200,2018-02-07,5:45:00,900,3,0.8,0,0.0,SEDENTARY,0
68,1517983200,1517984100,2018-02-07,6:00:00,900,4,0.733333333,0,0.0,SEDENTARY,0
69,1517984100,1517984984,2018-02-07,6:15:00,884,7,2.866666667,0,0.0,SEDENTARY,0
70,1517985000,1517985710,2018-02-07,6:30:00,710,7,5.733333333,0,0.0,SEDENTARY,1
71,1517985900,1517986726,2018-02-07,6:45:00,826,7,4.266666667,0,0.0,SEDENTARY,1
72,1517986800,1517987700,2018-02-07,7:00:00,900,4,3.733333333,0,0.0,SEDENTARY,0
73,1517987700,1517988600,2018-02-07,7:15:00,900,3,2.6,0,0.0,SEDENTARY,0
74,1517988600,1517989500,2018-02-07,7:30:00,900,3,2.8,0,0.0,SEDENTARY,0
75,1517989500,1517990400,2018-02-07,7:45:00,900,4,2.866666667,0,0.0,SEDENTARY,0
76,1517990400,1517991300,2018-02-07,8:00:00,900,4,3.266666667,0,0.0,SEDENTARY,0
77,1517991300,1517992200,2018-02-07,8:15:00,900,4,4.0,0,0.0,SEDENTARY,0
78,1517992200,1517993085,2018-02-07,8:30:00,885,7,3.333333333,0,0.0,SEDENTARY,0
79,1517993100,1517994000,2018-02-07,8:45:00,900,3,3.0,0,0.0,SEDENTARY,0
80,1517994000,1517994900,2018-02-07,9:00:00,900,4,3.0,0,0.0,SEDENTARY,0
81,1517994900,1517995800,2018-02-07,9:15:00,900,3,3.0,0,0.0,SEDENTARY,0
82,1517995800,1517996582,2018-02-07,9:30:00,782,7,5.066666667,0,0.0,SEDENTARY,1
83,1517996700,1517997600,2018-02-07,9:45:00,900,4,4.0,0,0.0,SEDENTARY,0
84,1517997600,1517998500,2018-02-07,10:00:00,900,4,3.133333333,0,0.0,SEDENTARY,3
85,1517998500,1517999400,2018-02-07,10:15:00,900,3,3.0,0,0.0,SEDENTARY,0
86,1517999400,1518000300,2018-02-07,10:30:00,900,3,3.0,0,0.0,SEDENTARY,0
87,1518000300,1518001124,2018-02-07,10:45:00,824,7,4.533333333,0,0.0,SEDENTARY,0
88,1518001200,1518002072,2018-02-07,11:00:00,872,7,5.733333333,0,0.0,SEDENTARY,0
89,1518002100,1518002934,2018-02-07,11:15:00,834,7,5.733333333,0,0.0,SEDENTARY,0
90,1518003000,1518003886,2018-02-07,11:30:00,886,7,5.4,0,0.0,SEDENTARY,3
91,1518003900,1518004754,2018-02-07,11:45:00,854,7,6.0,0,0.0,SEDENTARY,0
92,1518004800,1518005580,2018-02-07,12:00:00,780,7,4.333333333,0,0.0,SEDENTARY,0
93,1518005700,1518006600,2018-02-07,12:15:00,900,3,3.0,0,0.0,SEDENTARY,0
94,1518006600,1518007418,2018-02-07,12:30:00,818,7,4.266666667,0,0.0,SEDENTARY,0
95,1518007500,1518008400,2018-02-07,12:45:00,900,4,4.0,0,0.0,SEDENTARY,0
96,1518008400,1518009300,2018-02-07,13:00:00,900,4,4.0,0,0.0,SEDENTARY,0
97,1518009300,1518010200,2018-02-07,13:15:00,900,4,4.0,0,0.0,SEDENTARY,0
98,1518010200,1518011100,2018-02-07,13:30:00,900,4,2.866666667,0,0.0,SEDENTARY,0
99,1518011100,1518011870,2018-02-07,13:45:00,770,7,4.266666667,0,0.0,SEDENTARY,1
100,1518012000,1518012858,2018-02-07,14:00:00,858,7,3.266666667,0,0.0,SEDENTARY,0
101,1518012900,1518013800,2018-02-07,14:15:00,900,3,2.8,0,0.0,SEDENTARY,0
102,1518013800,1518014655,2018-02-07,14:30:00,855,7,3.0,0,0.0,SEDENTARY,0
103,1518014700,1518015600,2018-02-07,14:45:00,900,3,2.4,0,0.0,SEDENTARY,1
104,1518015600,1518016374,2018-02-07,15:00:00,774,7,3.866666667,0,0.0,SEDENTARY,2
105,1518016500,1518017395,2018-02-07,15:15:00,895,7,3.066666667,0,0.0,SEDENTARY,0
106,1518017400,1518018300,2018-02-07,15:30:00,900,3,3.0,0,0.0,SEDENTARY,0
107,1518018300,1518019200,2018-02-07,15:45:00,900,3,3.0,0,0.0,SEDENTARY,0
108,1518019200,1518019809,2018-02-07,16:00:00,609,7,5.4,0,0.0,SEDENTARY,0
109,1518020100,1518020747,2018-02-07,16:15:00,647,7,4.866666667,0,0.0,SEDENTARY,2
110,1518021000,1518021797,2018-02-07,16:30:00,797,7,5.666666667,0,0.0,SEDENTARY,0
111,1518021900,1518022736,2018-02-07,16:45:00,836,7,6.0,0,0.0,SEDENTARY,0
112,1518022800,1518023555,2018-02-07,17:00:00,755,7,4.866666667,0,0.0,SEDENTARY,2
113,1518023700,1518024600,2018-02-07,17:15:00,900,4,4.0,0,0.0,SEDENTARY,0
114,1518024600,1518025500,2018-02-07,17:30:00,900,5,4.066666667,0,0.0,SEDENTARY,2
115,1518025500,1518026179,2018-02-07,17:45:00,679,7,5.666666667,0,0.0,SEDENTARY,0
116,1518026400,1518027236,2018-02-07,18:00:00,836,7,5.333333333,0,0.0,SEDENTARY,3
117,1518027300,1518027912,2018-02-07,18:15:00,612,7,6.266666667,0,0.0,SEDENTARY,2
118,1518028200,1518028663,2018-02-07,18:30:00,463,7,5.933333333,0,0.0,SEDENTARY,4
119,1518029100,1518029516,2018-02-07,18:45:00,416,7,6.133333333,0,0.0,SEDENTARY,3
120,1518030000,1518030699,2018-02-07,19:00:00,699,7,6.066666667,0,0.0,SEDENTARY,0
121,1518030900,1518031324,2018-02-07,19:15:00,424,7,5.266666667,0,0.13,SEDENTARY,15
122,1518031800,1518031800,2018-02-07,19:30:00,0,7,6.266666667,0,0.0,GENERIC,22
123,1518032700,1518032700,2018-02-07,19:45:00,0,7,5.333333333,0,0.0,GENERIC,62
124,1518033600,1518033600,2018-02-07,20:00:00,0,7,5.666666667,0,0.0,GENERIC,51
125,1518034500,1518034500,2018-02-07,20:15:00,0,4,4.0,0,0.0,GENERIC,45
126,1518035400,1518036300,2018-02-07,20:30:00,900,4,2.8,0,0.0,SEDENTARY,4
127,1518036300,1518037200,2018-02-07,20:45:00,900,5,3.0,0,0.0,SEDENTARY,7
128,1518037200,1518037488,2018-02-07,21:00:00,288,7,6.4,0,0.0,SEDENTARY,0
129,1518038100,1518038745,2018-02-07,21:15:00,645,7,5.4,0,0.0,SEDENTARY,2
130,1518039000,1518039860,2018-02-07,21:30:00,860,7,3.933333333,0,0.0,SEDENTARY,0
131,1518039900,1518040800,2018-02-07,21:45:00,900,4,3.066666667,0,0.0,SEDENTARY,0
132,1518040800,1518041700,2018-02-07,22:00:00,900,4,2.666666667,0,0.0,SEDENTARY,1
133,1518041700,1518042600,2018-02-07,22:15:00,900,3,2.2,0,0.0,SEDENTARY,2
134,1518042600,1518043486,2018-02-07,22:30:00,886,7,3.533333333,0,0.0,SEDENTARY,0
135,1518043500,1518044381,2018-02-07,22:45:00,881,7,3.066666667,0,0.0,SEDENTARY,0
136,1518044400,1518045300,2018-02-07,23:00:00,900,3,0.4,0,0.0,SEDENTARY,0
137,1518045300,1518046200,2018-02-07,23:15:00,900,0,0.0,0,0.0,SEDENTARY,0
138,1518046200,1518047100,2018-02-07,23:30:00,900,4,0.266666667,0,0.0,SEDENTARY,0
139,1518047100,1518048000,2018-02-07,23:45:00,900,2,0.4,0,0.0,SEDENTARY,0
140,1518048000,1518048900,2018-02-08,0:00:00,900,0,0.0,0,0.0,SEDENTARY,0
141,1518048900,1518049800,2018-02-08,0:15:00,900,0,0.0,0,0.0,SEDENTARY,0
142,1518049800,1518050693,2018-02-08,0:30:00,893,7,0.733333333,0,0.0,SEDENTARY,0
143,1518050700,1518051600,2018-02-08,0:45:00,900,2,0.133333333,0,0.0,SEDENTARY,0
144,1518051600,1518052500,2018-02-08,1:00:00,900,3,0.2,0,0.0,SEDENTARY,0
145,1518052500,1518053400,2018-02-08,1:15:00,900,4,0.533333333,0,0.0,SEDENTARY,0
146,1518053400,1518054300,2018-02-08,1:30:00,900,2,0.533333333,0,0.0,SEDENTARY,0
147,1518054300,1518055200,2018-02-08,1:45:00,900,3,0.2,0,0.0,SEDENTARY,0
148,1518055200,1518056100,2018-02-08,2:00:00,900,3,0.6,0,0.0,SEDENTARY,0
149,1518056100,1518057000,2018-02-08,2:15:00,900,3,0.333333333,0,0.0,SEDENTARY,0
150,1518057000,1518057900,2018-02-08,2:30:00,900,2,0.533333333,0,0.0,SEDENTARY,0
151,1518057900,1518058800,2018-02-08,2:45:00,900,3,0.666666667,0,0.0,SEDENTARY,0
152,1518058800,1518059700,2018-02-08,3:00:00,900,4,0.4,0,0.0,SEDENTARY,0
153,1518059700,1518060600,2018-02-08,3:15:00,900,2,0.533333333,0,0.0,SEDENTARY,0
154,1518060600,1518061500,2018-02-08,3:30:00,900,0,0.0,0,0.0,SEDENTARY,0
155,1518061500,1518062400,2018-02-08,3:45:00,900,0,0.0,0,0.0,SEDENTARY,0
156,1518062400,1518063300,2018-02-08,4:00:00,900,0,0.0,0,0.0,SEDENTARY,0
157,1518063300,1518064200,2018-02-08,4:15:00,900,4,0.866666667,0,0.0,SEDENTARY,0
158,1518064200,1518065100,2018-02-08,4:30:00,900,3,0.866666667,0,0.0,SEDENTARY,0
159,1518065100,1518066000,2018-02-08,4:45:00,900,3,0.2,0,0.0,SEDENTARY,0
160,1518066000,1518066900,2018-02-08,5:00:00,900,0,0.0,0,0.0,SEDENTARY,0
161,1518066900,1518067800,2018-02-08,5:15:00,900,4,0.266666667,0,0.0,SEDENTARY,0
162,1518067800,1518068700,2018-02-08,5:30:00,900,3,0.2,0,0.0,SEDENTARY,0
163,1518068700,1518069600,2018-02-08,5:45:00,900,2,0.133333333,0,0.0,SEDENTARY,0
164,1518069600,1518070500,2018-02-08,6:00:00,900,0,0.0,0,0.0,SEDENTARY,0
165,1518070500,1518071400,2018-02-08,6:15:00,900,0,0.0,0,0.0,SEDENTARY,0
166,1518071400,1518072300,2018-02-08,6:30:00,900,4,2.4,0,0.0,SEDENTARY,0
167,1518072300,1518073200,2018-02-08,6:45:00,900,3,0.266666667,0,0.0,SEDENTARY,0
168,1518073200,1518074100,2018-02-08,7:00:00,900,4,1.2,0,0.0,SEDENTARY,0
169,1518074100,1518075000,2018-02-08,7:15:00,900,5,0.666666667,0,0.0,SEDENTARY,1
170,1518075000,1518075900,2018-02-08,7:30:00,900,3,1.533333333,0,0.0,SEDENTARY,0
171,1518075900,1518076800,2018-02-08,7:45:00,900,5,1.0,0,0.0,SEDENTARY,0
172,1518076800,1518077700,2018-02-08,8:00:00,900,3,0.2,0,0.0,SEDENTARY,0
173,1518077700,1518078600,2018-02-08,8:15:00,900,0,0.0,0,0.0,SEDENTARY,0
174,1518078600,1518079500,2018-02-08,8:30:00,900,4,0.333333333,0,0.0,SEDENTARY,0
175,1518079500,1518080400,2018-02-08,8:45:00,900,2,0.266666667,0,0.0,SEDENTARY,0
176,1518080400,1518081300,2018-02-08,9:00:00,900,4,0.266666667,0,0.0,SEDENTARY,0
177,1518081300,1518082200,2018-02-08,9:15:00,900,4,0.533333333,0,0.0,SEDENTARY,0
178,1518082200,1518083085,2018-02-08,9:30:00,885,7,4.2,0,0.0,SEDENTARY,0
179,1518083100,1518083634,2018-02-08,9:45:00,534,7,5.8,0,0.0,SEDENTARY,0
180,1518084000,1518084580,2018-02-08,10:00:00,580,7,4.133333333,0,0.01,SEDENTARY,5
181,1518084900,1518085700,2018-02-08,10:15:00,800,7,4.533333333,0,0.0,SEDENTARY,0
182,1518085800,1518086680,2018-02-08,10:30:00,880,7,4.4,0,0.0,SEDENTARY,0
183,1518086700,1518087597,2018-02-08,10:45:00,897,7,4.4,0,0.0,SEDENTARY,0
184,1518087600,1518088498,2018-02-08,11:00:00,898,7,3.466666667,0,0.0,SEDENTARY,0
185,1518088500,1518089400,2018-02-08,11:15:00,900,5,3.866666667,0,0.0,SEDENTARY,0
186,1518089400,1518090296,2018-02-08,11:30:00,896,7,2.866666667,0,0.0,SEDENTARY,0
187,1518090300,1518091080,2018-02-08,11:45:00,780,7,6.133333333,0,0.0,SEDENTARY,0
188,1518091200,1518091999,2018-02-08,12:00:00,799,7,5.466666667,0,0.0,SEDENTARY,4
189,1518092100,1518092930,2018-02-08,12:15:00,830,7,5.533333333,0,0.0,SEDENTARY,0
190,1518093000,1518093891,2018-02-08,12:30:00,891,7,4.8,0,0.0,SEDENTARY,3
