,Unnamed: 0,startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
0,0,1486247760,1486275120,0,2017-02-04,22:36:00,2017-02-05,6:12:00
1,1,1486333980,1486361280,0,2017-02-05,22:33:00,2017-02-06,6:08:00
2,2,1486417620,1486448520,0,2017-02-06,21:47:00,2017-02-07,6:22:00
3,3,1486509120,1486534560,0,2017-02-07,23:12:00,2017-02-08,6:16:00
4,4,1486599600,1486631160,0,2017-02-09,0:20:00,2017-02-09,9:06:00
5,5,1486681380,1486713120,0,2017-02-09,23:03:00,2017-02-10,7:52:00
6,6,1486771080,1486791240,0,2017-02-10,23:58:00,2017-02-11,5:34:00
7,7,1486850880,1486880100,0,2017-02-11,22:08:00,2017-02-12,6:15:00
8,8,1486935600,1486966320,0,2017-02-12,21:40:00,2017-02-13,6:12:00
9,9,1487028180,1487053920,0,2017-02-13,23:23:00,2017-02-14,6:32:00
10,10,1487118540,1487139660,0,2017-02-15,0:29:00,2017-02-15,6:21:00
11,11,1487198340,1487235540,0,2017-02-15,22:39:00,2017-02-16,8:59:00
12,12,1487291040,1487328900,0,2017-02-17,0:24:00,2017-02-17,10:55:00
13,13,1487382480,1487398320,0,2017-02-18,1:48:00,2017-02-18,6:12:00
14,14,1487457240,1487485080,0,2017-02-18,22:34:00,2017-02-19,6:18:00
15,15,1487550540,1487575620,0,2017-02-20,0:29:00,2017-02-20,7:27:00
16,16,1487623860,1487653440,0,2017-02-20,20:51:00,2017-02-21,5:04:00
17,17,1487718180,1487745180,0,2017-02-21,23:03:00,2017-02-22,6:33:00
18,18,1487807700,1487837580,0,2017-02-22,23:55:00,2017-02-23,8:13:00
19,19,1487899200,1487922780,0,2017-02-24,1:20:00,2017-02-24,7:53:00
20,20,1487982240,1488008460,0,2017-02-25,0:24:00,2017-02-25,7:41:00
21,21,1488063360,1488093000,0,2017-02-25,22:56:00,2017-02-26,7:10:00
22,22,1488247080,1488274620,0,2017-02-28,1:58:00,2017-02-28,9:37:00
23,23,1488336240,1488362760,0,2017-03-01,2:44:00,2017-03-01,10:06:00
24,24,1488420600,1488441480,0,2017-03-02,2:10:00,2017-03-02,7:58:00
25,25,1488498960,1488535080,0,2017-03-02,23:56:00,2017-03-03,9:58:00
26,26,1488586200,1488607680,0,2017-03-04,0:10:00,2017-03-04,6:08:00
27,27,1488668340,1488694080,0,2017-03-04,22:59:00,2017-03-05,6:08:00
28,28,1488754740,1488780180,0,2017-03-05,22:59:00,2017-03-06,6:03:00
